timestamp,frame,dt,fps,veh_x,veh_y,veh_yaw,speed,nozzle_x,nozzle_y,nozzle_edge_dist,poly_edge_dist,driving_offset,steer_filter,steer_cmd,throttle_cmd,brake_cmd,lateral_error,paint_state,painting_enabled,dash_phase,perception_mode,ai_edge_pts,gt_edge_pts,road_mask_ratio,poly_coeff_a,poly_coeff_b,poly_coeff_c,inference_time_ms,sne_time_ms,mask_iou,edge_dev_mean_px,edge_dev_median_px,edge_dev_max_px,gt_nozzle_edge_dist
1772179087.235543,150,0.005692,124.282847,-246.544998,9.835348,90.233971,2.344404,-248.544983,9.827181,3.220683,5.759019,5.233456,0.500000,0.000000,0.000000,0.000000,0.759019,STABILIZED,0,-1,LUNA,250,269,0.473366,0.002627,-0.072144,5.840581,-1.000000,-1.000000,0.987546,7.868000,6.000000,24.000000,3.129813
1772179087.601500,151,0.006783,122.781475,-246.550858,10.675268,90.289116,2.344456,-248.550827,10.665176,3.220885,5.759019,5.234347,0.500000,0.000000,0.000000,0.000000,0.759019,STABILIZED,0,-1,LUNA,250,269,0.474591,0.002895,-0.080498,5.902660,57.904482,62.418461,0.985260,8.880000,7.000000,30.000000,3.129823
1772179087.607692,152,0.365964,122.783648,-246.550858,10.675268,90.289116,2.344456,-248.550827,10.665176,3.221227,5.759019,5.235149,0.500000,0.000000,0.000000,0.000000,0.759019,STABILIZED,0,-1,LUNA,250,269,0.474591,0.003056,-0.085510,5.939907,-1.000000,-1.000000,0.985260,8.880000,7.000000,30.000000,3.129823
1772179087.614922,153,0.006191,122.080774,-246.550858,10.675268,90.289116,2.344456,-248.550827,10.665176,3.224612,5.759019,5.235871,0.500000,0.000000,0.000000,0.000000,0.759019,STABILIZED,0,-1,LUNA,250,269,0.474591,0.003152,-0.088517,5.962256,-1.000000,-1.000000,0.985260,8.880000,7.000000,30.000000,3.129823
1772179087.984689,154,0.007236,120.351218,-246.557480,11.535684,90.343498,2.330419,-248.557449,11.523693,3.227857,5.759019,5.238271,0.500000,0.000000,0.000000,0.000000,0.759019,PAINTING,1,-1,LUNA,250,269,0.474582,0.003302,-0.093265,5.997354,53.881884,57.775974,0.985799,9.324000,7.000000,30.000000,3.127794
1772179087.992734,155,0.369770,120.352557,-246.557480,11.535684,90.343498,2.336844,-248.558289,11.624641,3.227857,5.759019,5.240430,0.500000,0.000000,0.000000,0.000000,0.759019,PAINTING,1,-1,LUNA,250,269,0.474582,0.003392,-0.096113,6.018412,-1.000000,-1.000000,0.985799,9.324000,7.000000,30.000000,3.127560
1772179088.000625,156,0.008059,118.629103,-246.558319,11.636794,90.348145,2.336844,-248.558289,11.624641,3.230942,5.759019,5.241791,0.500000,0.000000,0.000000,0.000000,0.759019,PAINTING,1,-1,LUNA,250,269,0.474582,0.003385,-0.096114,6.018625,-1.000000,-1.000000,0.985799,9.324000,7.000000,30.000000,3.126905
1772179088.377053,157,0.007868,116.090514,-246.565521,12.485465,90.397293,2.342838,-248.565475,12.471597,3.234026,5.771489,5.240077,0.500000,0.000000,0.000000,0.000000,0.771489,PAINTING,1,-1,LUNA,250,269,0.473881,0.003008,-0.085668,5.944611,57.821989,56.815624,0.987306,8.284000,6.000000,26.000000,3.126514
1772179088.384496,158,0.376430,116.088826,-246.565521,12.485465,90.397293,2.342838,-248.565475,12.471597,3.234026,5.808296,5.238535,0.500000,0.000000,0.000000,0.000000,0.808296,PAINTING,1,-1,LUNA,250,269,0.473881,0.002781,-0.079400,5.900202,-1.000000,-1.000000,0.987306,8.284000,6.000000,26.000000,3.126514
1772179088.392483,159,0.007447,113.869332,-246.565521,12.485465,90.397293,2.342838,-248.565475,12.471597,3.242866,5.831776,5.237147,0.500000,0.000000,0.000000,0.000000,0.831776,PAINTING,1,-1,LUNA,250,269,0.473881,0.002646,-0.075640,5.873557,-1.000000,-1.000000,0.987306,8.284000,6.000000,26.000000,3.126514
1772179088.760799,160,0.007991,112.187431,-246.574142,13.426473,90.443138,2.349597,-248.574081,13.411004,3.251707,5.854738,5.238886,0.500000,0.000000,0.000000,0.000000,0.854738,PAINTING,1,-1,LUNA,250,269,0.473339,0.002624,-0.075440,5.868895,56.204557,58.022976,0.988464,8.096000,6.000000,29.000000,3.123634
1772179088.767782,161,0.368308,112.191062,-246.574142,13.426473,90.443138,2.349597,-248.574081,13.411004,3.251707,5.867497,5.240452,0.500000,0.000000,0.000000,0.000000,0.867497,PAINTING,1,-1,LUNA,250,269,0.473339,0.002611,-0.075320,5.866098,-1.000000,-1.000000,0.988464,8.096000,6.000000,29.000000,3.123634
1772179088.774008,162,0.006982,111.888888,-246.574142,13.426473,90.443138,2.349597,-248.574081,13.411004,3.252419,5.867497,5.241862,0.500000,0.000000,0.000000,0.000000,0.867497,PAINTING,1,-1,LUNA,250,269,0.473339,0.002604,-0.075249,5.864420,-1.000000,-1.000000,0.988464,8.096000,6.000000,29.000000,3.123634
1772179089.147218,163,0.006239,111.496348,-246.582214,14.269797,90.480049,2.343654,-248.582138,14.253040,3.253131,5.871226,5.240118,0.500000,0.000000,0.000000,0.000000,0.871226,PAINTING,1,-1,LUNA,250,269,0.474401,0.002975,-0.086684,5.947166,57.662964,62.451601,0.986718,9.032000,6.000000,36.000000,3.124044
1772179089.154339,164,0.373209,111.497326,-246.582214,14.269797,90.480049,2.343654,-248.582138,14.253040,3.253131,5.886880,5.238549,0.500000,0.000000,0.000000,0.000000,0.886880,PAINTING,1,-1,LUNA,250,269,0.474401,0.003197,-0.093546,5.996814,-1.000000,-1.000000,0.986718,9.032000,6.000000,36.000000,3.124044
1772179089.162278,165,0.007119,109.474157,-246.582214,14.269797,90.480049,2.342378,-248.583298,14.361432,3.254045,5.901431,5.237137,0.500000,0.000000,0.000000,0.000000,0.901431,PAINTING,1,-1,LUNA,250,269,0.474401,0.003331,-0.097662,6.026603,-1.000000,-1.000000,0.986718,9.032000,6.000000,36.000000,3.123793
1772179089.530873,166,0.007947,107.204962,-246.591736,15.201196,90.521759,2.341798,-248.591660,15.182983,3.254959,5.921284,5.234936,0.500000,0.000000,0.000000,0.000000,0.921284,PAINTING,1,-1,LUNA,250,269,0.475100,0.003094,-0.091589,5.985357,59.626579,57.237148,0.985294,8.376000,6.000000,25.000000,3.122594
1772179089.537168,167,0.368576,107.203637,-246.591736,15.201196,90.521759,2.341798,-248.591660,15.182983,3.254959,5.942259,5.232956,0.500000,0.000000,0.000000,0.000000,0.942259,PAINTING,1,-1,LUNA,250,269,0.475100,0.002952,-0.087945,5.960609,-1.000000,-1.000000,0.985294,8.376000,6.000000,25.000000,3.122594
1772179089.543366,168,0.006295,105.958966,-246.591736,15.201196,90.521759,2.341798,-248.591660,15.182983,3.258580,5.945186,5.231174,0.500000,0.000000,0.000000,0.000000,0.945186,PAINTING,1,-1,LUNA,250,269,0.475100,0.002867,-0.085758,5.945761,-1.000000,-1.000000,0.985294,8.376000,6.000000,25.000000,3.122594
1772179089.913096,169,0.006222,105.385852,-246.600662,16.041447,90.555565,2.344298,-248.600571,16.022055,3.262201,5.945186,5.227294,0.500000,0.000000,0.000000,0.000000,0.945186,PAINTING,1,-1,LUNA,250,269,0.474317,0.002597,-0.078381,5.891816,58.271170,63.977718,0.985927,7.580000,6.000000,23.000000,3.121354
