timestamp,frame,dt,fps,veh_x,veh_y,veh_yaw,speed,nozzle_x,nozzle_y,nozzle_edge_dist,poly_edge_dist,driving_offset,steer_filter,steer_cmd,throttle_cmd,brake_cmd,lateral_error,paint_state,painting_enabled,dash_phase,perception_mode,ai_edge_pts,gt_edge_pts,road_mask_ratio,poly_coeff_a,poly_coeff_b,poly_coeff_c,inference_time_ms,sne_time_ms,mask_iou,edge_dev_mean_px,edge_dev_median_px,edge_dev_max_px,gt_nozzle_edge_dist
1772177642.796395,150,0.006084,118.202207,-246.582962,0.401542,89.265305,2.337731,-248.582001,0.516216,2.934863,4.968790,5.116883,0.150000,0.000000,0.000000,0.000000,-0.031210,STABILIZED,0,-1,VLLiNet,250,269,0.457332,0.000171,0.024517,4.974356,-1.000000,-1.000000,0.973850,0.500000,0.000000,2.000000,3.094566
1772177643.077001,151,0.008316,117.188494,-246.576889,1.115334,89.331352,2.334155,-248.576752,1.138674,2.938413,4.968790,5.115308,0.150000,0.000000,0.000000,0.000000,-0.031210,STABILIZED,0,-1,VLLiNet,250,269,0.457791,0.000142,0.024804,4.976384,18.846273,0.000000,0.974616,0.484000,0.000000,2.000000,3.097998
1772177643.082954,152,0.280602,117.185750,-246.576889,1.115334,89.331352,2.334155,-248.576752,1.138674,2.938413,4.968790,5.113891,0.150000,0.000000,0.000000,0.000000,-0.031210,STABILIZED,0,-1,VLLiNet,250,269,0.457791,0.000125,0.024977,4.977601,-1.000000,-1.000000,0.974616,0.484000,0.000000,2.000000,3.097998
1772177643.089642,153,0.005946,117.102707,-246.576889,1.115334,89.331352,2.334155,-248.576752,1.138674,2.943730,4.968790,5.112615,0.150000,0.000000,0.000000,0.000000,-0.031210,STABILIZED,0,-1,VLLiNet,250,269,0.457791,0.000114,0.025080,4.978331,-1.000000,-1.000000,0.974616,0.484000,0.000000,2.000000,3.097998
1772177643.373494,154,0.006726,115.302007,-246.571579,1.835445,89.399910,2.334940,-248.571472,1.856392,2.949046,4.968790,5.113201,0.150000,0.000000,0.000000,0.000000,-0.031210,PAINTING,1,-1,VLLiNet,250,269,0.457899,0.000057,0.025831,4.978668,20.636559,0.000000,0.974705,0.488000,0.000000,3.000000,3.101707
1772177643.380702,155,0.283822,115.297601,-246.571579,1.835445,89.399910,2.334940,-248.571472,1.856392,2.949046,4.968790,5.113728,0.150000,0.000000,0.000000,0.000000,-0.031210,PAINTING,1,-1,VLLiNet,250,269,0.457899,0.000022,0.026282,4.978870,-1.000000,-1.000000,0.974705,0.488000,0.000000,3.000000,3.101707
1772177643.386997,156,0.007207,114.143034,-246.571579,1.835445,89.399910,2.334940,-248.571472,1.856392,2.949615,4.968790,5.114203,0.150000,0.000000,0.000000,0.000000,-0.031210,PAINTING,1,-1,VLLiNet,250,269,0.457899,0.000001,0.026553,4.978991,-1.000000,-1.000000,0.974705,0.488000,0.000000,3.000000,3.101707
1772177643.658257,157,0.006293,114.312039,-246.567673,2.461380,89.461388,2.343298,-248.567581,2.480181,2.950184,4.968790,5.113353,0.150000,0.000000,0.000000,0.000000,-0.031210,PAINTING,1,-1,VLLiNet,250,269,0.457701,0.000019,0.025418,4.989879,21.972895,0.000000,0.974165,0.560000,1.000000,2.000000,3.105723
1772177643.665563,158,0.271268,114.314828,-246.567673,2.461380,89.461388,2.343298,-248.567581,2.480181,2.950184,4.968790,5.112588,0.150000,0.000000,0.000000,0.000000,-0.031210,PAINTING,1,-1,VLLiNet,250,269,0.457701,0.000029,0.024738,4.996411,-1.000000,-1.000000,0.974165,0.560000,1.000000,2.000000,3.105723
1772177643.674024,159,0.007308,112.774253,-246.567673,2.461380,89.461388,2.342296,-248.567108,2.565915,2.954175,4.972838,5.111899,0.150000,0.000000,0.000000,0.000000,-0.027162,PAINTING,1,-1,VLLiNet,250,269,0.457701,0.000036,0.024330,5.000330,-1.000000,-1.000000,0.974165,0.560000,1.000000,2.000000,3.105390
