timestamp,frame,dt,veh_x,veh_y,veh_yaw,speed,nozzle_x,nozzle_y,nozzle_edge_dist,poly_edge_dist,driving_offset,steer_filter,steer_cmd,throttle_cmd,brake_cmd,lateral_error,paint_state,painting_enabled,dash_phase,perception_mode,ai_edge_pts,gt_edge_pts,road_mask_ratio,poly_coeff_a,poly_coeff_b,poly_coeff_c,inference_time_ms
1770743840.624248,77,0.252896,-246.949097,-13.322008,89.119057,2.350703,-248.948868,-13.291259,2.911233,5.113176,4.942456,0.150000,0.000000,0.000000,0.000000,0.113176,PAINTING,1,-1,AI,229,229,0.370219,0.001357,-0.027383,5.036630,-1.000000
1770743840.658458,78,0.033281,-246.949097,-13.322008,89.119057,2.347943,-248.947464,-13.205591,2.911324,5.070703,4.944119,0.150000,0.000000,0.000000,0.000000,0.070703,PAINTING,1,-1,AI,229,229,0.370219,0.001357,-0.027383,5.036630,-1.000000
1770743840.905377,79,0.034073,-246.939621,-12.730730,89.111641,2.350793,-248.938126,-12.620896,2.916504,5.070072,4.948112,0.150000,0.000000,0.000000,0.000000,0.070072,PAINTING,1,-1,AI,229,229,0.368753,0.001498,-0.031297,5.066386,20.143270
1770743840.934526,80,0.242458,-246.938370,-12.651934,89.110809,2.350793,-248.938126,-12.620896,2.916642,5.068229,4.950157,0.150000,0.000000,0.000000,0.000000,0.068229,PAINTING,1,-1,AI,229,229,0.368753,0.001498,-0.031046,5.063957,-1.000000
1770743840.967155,81,0.032955,-246.937149,-12.573252,89.110062,2.351326,-248.936905,-12.542189,2.916764,5.065172,4.952111,0.150000,0.000000,0.000000,0.000000,0.065172,PAINTING,1,-1,AI,229,229,0.368753,0.001463,-0.029894,5.055846,-1.000000
1770743841.209821,82,0.032440,-246.927963,-12.002542,89.105888,2.349940,-248.927719,-11.971333,2.923391,5.065172,4.954057,0.150000,0.000000,0.000000,0.000000,0.065172,PAINTING,1,-1,AI,229,229,0.369024,0.001777,-0.037461,5.106023,20.720720
1770743841.238953,83,0.239087,-246.926636,-11.920522,89.105400,2.349197,-248.926392,-11.889296,2.923528,5.065172,4.955660,0.150000,0.000000,0.000000,0.000000,0.065172,PAINTING,1,-1,AI,229,229,0.369024,0.001777,-0.037161,5.103008,-1.000000
1770743841.271728,84,0.032746,-246.925171,-11.826858,89.104584,2.341080,-248.924927,-11.795603,2.923666,5.065172,4.957070,0.150000,0.000000,0.000000,0.000000,0.065172,PAINTING,1,-1,AI,229,229,0.369024,0.001742,-0.035914,5.093897,-1.000000
1770743841.531367,85,0.033052,-246.915466,-11.217199,89.102455,2.342888,-248.915222,-11.185870,2.922554,5.059901,4.958312,0.150000,0.000000,0.000000,0.000000,0.059901,PAINTING,1,-1,AI,229,229,0.368321,0.001524,-0.029202,5.050120,19.154310
1770743841.560463,86,0.255848,-246.914215,-11.140290,89.102440,2.346133,-248.913971,-11.108961,2.922600,5.059901,4.959910,0.150000,0.000000,0.000000,0.000000,0.059901,PAINTING,1,-1,AI,229,229,0.368321,0.001524,-0.028967,5.047929,-1.000000
1770743841.594543,87,0.033685,-246.912811,-11.053104,89.102440,2.344259,-248.912567,-11.021775,2.922646,5.059901,4.961127,0.150000,0.000000,0.000000,0.000000,0.059901,PAINTING,1,-1,AI,229,229,0.368321,0.001535,-0.028980,5.047197,-1.000000
1770743841.837878,88,0.032591,-246.903961,-10.482859,89.104706,2.352758,-248.903717,-10.451609,2.931709,5.059901,4.962197,0.150000,0.000000,0.000000,0.000000,0.059901,PAINTING,1,-1,AI,229,229,0.370025,0.001433,-0.023788,5.010061,18.436432
1770743841.868885,89,0.241842,-246.902710,-10.403771,89.104912,2.352607,-248.902466,-10.372528,2.931693,5.052983,4.963140,0.150000,0.000000,0.000000,0.000000,0.052983,PAINTING,1,-1,AI,229,229,0.370025,0.001433,-0.023565,5.008204,-1.000000
1770743841.902959,90,0.034031,-246.901520,-10.326063,89.105270,2.353027,-248.901276,-10.294832,2.931601,5.049024,4.964633,0.150000,0.000000,0.000000,0.000000,0.049024,PAINTING,1,-1,AI,229,229,0.370025,0.001433,-0.023361,5.006437,-1.000000
1770743842.147801,91,0.033137,-246.892578,-9.739943,89.108673,2.350685,-248.892334,-9.708831,2.931507,5.047563,4.966078,0.150000,0.000000,0.000000,0.000000,0.047563,PAINTING,1,-1,AI,229,229,0.371394,0.001478,-0.023369,5.006251,18.127203
1770743842.176721,92,0.240747,-246.892578,-9.739943,89.108673,2.351083,-248.891144,-9.630010,2.931461,5.028629,4.967347,0.150000,0.000000,0.000000,0.000000,0.028629,PAINTING,1,-1,AI,229,229,0.371394,0.001478,-0.023369,5.006251,-1.000000
1770743842.210032,93,0.033719,-246.891388,-9.661101,89.109245,2.351083,-248.891144,-9.630010,2.931369,5.009132,4.970230,0.150000,0.000000,0.000000,0.000000,0.009132,PAINTING,1,-1,AI,229,229,0.371394,0.001478,-0.023146,5.004382,-1.000000
1770743842.463311,94,0.032500,-246.881500,-9.007247,89.115662,2.353563,-248.881256,-8.976379,2.933028,5.007320,4.973956,0.150000,0.000000,0.000000,0.000000,0.007320,PAINTING,1,-1,AI,229,229,0.372861,0.001430,-0.020678,4.990426,23.299932
1770743842.493338,95,0.249238,-246.881500,-9.007247,89.115662,2.349269,-248.879929,-8.887425,2.932982,5.006344,4.976707,0.150000,0.000000,0.000000,0.000000,0.006344,PAINTING,1,-1,AI,229,229,0.372861,0.001430,-0.020678,4.990426,-1.000000
1770743842.525193,96,0.033104,-246.880173,-8.918262,89.116562,2.349269,-248.879929,-8.887425,2.932828,5.006251,4.979157,0.150000,0.000000,0.000000,0.000000,0.006251,PAINTING,1,-1,AI,229,229,0.372861,0.001407,-0.019834,4.984747,-1.000000
1770743842.787444,97,0.032576,-246.870224,-8.260354,89.124352,2.352723,-248.869995,-8.229790,2.940208,5.005317,4.981286,0.150000,0.000000,0.000000,0.000000,0.005317,PAINTING,1,-1,AI,229,229,0.371173,0.001279,-0.014896,4.953104,20.953655
1770743842.816858,98,0.259411,-246.869064,-8.180207,89.125420,2.352173,-248.868835,-8.149680,2.939963,4.997404,4.983247,0.150000,0.000000,0.000000,0.000000,-0.002596,PAINTING,1,-1,AI,229,229,0.371173,0.001281,-0.014758,4.952158,-1.000000
1770743842.850621,99,0.032657,-246.867706,-8.091591,89.126396,2.347079,-248.867477,-8.061097,2.939810,4.990426,4.985698,0.150000,0.000000,0.000000,0.000000,-0.009574,PAINTING,1,-1,AI,229,229,0.371173,0.001281,-0.014548,4.950867,-1.000000
1770743843.101195,100,0.033251,-246.859375,-7.522638,89.135704,2.353448,-248.859146,-7.492470,2.943893,4.987586,4.988240,0.150000,0.000000,0.000000,0.000000,-0.012414,PAINTING,1,-1,AI,229,229,0.370065,0.001203,-0.011423,4.930188,21.167994
1770743843.132667,101,0.249305,-246.858185,-7.442384,89.137131,2.353255,-248.857956,-7.412266,2.943647,4.968925,4.990498,0.150000,0.000000,0.000000,0.000000,-0.031075,PAINTING,1,-1,AI,229,229,0.370065,0.001167,-0.010321,4.923387,-1.000000
1770743843.164332,102,0.032391,-246.856979,-7.359607,89.138496,2.351496,-248.856750,-7.329536,2.943372,4.952631,4.994174,0.150000,0.000000,0.000000,0.000000,-0.047369,PAINTING,1,-1,AI,229,229,0.370065,0.001167,-0.010152,4.922500,-1.000000
1770743843.417954,103,0.033119,-246.848679,-6.776373,89.149544,2.353883,-248.848465,-6.746687,2.955434,4.952604,4.998302,0.150000,0.000000,0.000000,0.000000,-0.047396,PAINTING,1,-1,AI,229,229,0.372394,0.001337,-0.014072,4.953050,19.712210
1770743843.449668,104,0.251152,-246.847488,-6.692048,89.151215,2.351951,-248.847275,-6.662421,2.955097,4.951512,5.001351,0.150000,0.000000,0.000000,0.000000,-0.048488,PAINTING,1,-1,AI,229,229,0.372394,0.001315,-0.013289,4.948126,-1.000000
1770743843.484455,105,0.033178,-246.847488,-6.692048,89.151215,2.344599,-248.846008,-6.570704,2.955006,4.949496,5.004137,0.150000,0.000000,0.000000,0.000000,-0.050504,PAINTING,1,-1,AI,229,229,0.372394,0.001315,-0.013289,4.948126,-1.000000
1770743843.733186,106,0.033298,-246.838318,-6.035311,89.165222,2.353575,-248.838104,-6.006173,2.966364,4.948126,5.006744,0.150000,0.000000,0.000000,0.000000,-0.051874,PAINTING,1,-1,AI,229,229,0.371576,0.001087,-0.006957,4.915735,20.861149
1770743843.764623,107,0.249007,-246.837204,-5.956633,89.167046,2.353926,-248.836990,-5.927558,2.966027,4.939157,5.009096,0.150000,0.000000,0.000000,0.000000,-0.060843,PAINTING,1,-1,AI,229,229,0.371576,0.001049,-0.005834,4.908974,-1.000000
1770743843.799402,108,0.034024,-246.836166,-5.878229,89.168907,2.353919,-248.835953,-5.849219,2.965629,4.926788,5.011978,0.150000,0.000000,0.000000,0.000000,-0.073212,PAINTING,1,-1,AI,229,229,0.371576,0.001049,-0.005702,4.908421,-1.000000
1770743844.060054,109,0.033650,-246.828400,-5.297963,89.183022,2.349121,-248.828201,-5.269446,2.977750,4.922944,5.015379,0.150000,0.000000,0.000000,0.000000,-0.077056,PAINTING,1,-1,AI,229,229,0.372696,0.000938,-0.002014,4.890418,19.682169
1770743844.089578,110,0.257999,-246.827438,-5.224814,89.184647,2.351186,-248.827240,-5.196354,2.977398,4.919118,5.018295,0.150000,0.000000,0.000000,0.000000,-0.080882,PAINTING,1,-1,AI,229,229,0.372696,0.000938,-0.001905,4.890194,-1.000000
1770743844.122575,111,0.032438,-246.826340,-5.142143,89.186859,2.351119,-248.826141,-5.113760,2.976939,4.912354,5.021090,0.150000,0.000000,0.000000,0.000000,-0.087646,PAINTING,1,-1,AI,229,229,0.372696,0.000930,-0.001584,4.888676,-1.000000
