timestamp,frame,dt,veh_x,veh_y,veh_yaw,speed,nozzle_x,nozzle_y,nozzle_edge_dist,poly_edge_dist,driving_offset,steer_filter,steer_cmd,throttle_cmd,brake_cmd,lateral_error,paint_state,painting_enabled,dash_phase,perception_mode,ai_edge_pts,gt_edge_pts,road_mask_ratio,poly_coeff_a,poly_coeff_b,poly_coeff_c,inference_time_ms,mask_iou,edge_dev_mean_px,edge_dev_median_px,edge_dev_max_px
1770747667.130295,111,0.032518,-246.835190,-4.798062,89.103226,2.351687,-248.834946,-4.766760,2.976607,4.867908,5.038994,0.150000,0.000000,0.000000,0.000000,-0.132092,PAINTING,1,-1,AI,229,229,0.376131,0.000963,-0.000529,4.880885,-1.000000,0.934431,0.445415,0.000000,2.000000
1770747667.405341,112,0.034883,-246.825439,-4.118242,89.121674,2.350417,-248.825211,-4.087584,2.989182,4.867908,5.042241,0.150000,0.000000,0.000000,0.000000,-0.132092,PAINTING,1,-1,AI,229,229,0.376279,0.001145,-0.003669,4.905424,23.269653,0.931044,0.493450,0.000000,3.000000
1770747667.435760,113,0.271594,-246.824310,-4.037741,89.124077,2.350785,-248.824081,-4.007167,2.988692,4.874449,5.045097,0.150000,0.000000,0.000000,0.000000,-0.125551,PAINTING,1,-1,AI,229,229,0.376279,0.001064,-0.001419,4.891804,-1.000000,0.931044,0.493450,0.000000,3.000000
1770747667.468282,114,0.032406,-246.823196,-3.959157,89.126427,2.351152,-248.822968,-3.928665,2.988217,4.881932,5.046983,0.150000,0.000000,0.000000,0.000000,-0.118068,PAINTING,1,-1,AI,229,229,0.376279,0.001011,0.000088,4.882980,-1.000000,0.931044,0.493450,0.000000,3.000000
1770747667.745473,115,0.033053,-246.815033,-3.373254,89.143997,2.346523,-248.813599,-3.258207,3.001052,4.881932,5.048160,0.150000,0.000000,0.000000,0.000000,-0.118068,PAINTING,1,-1,AI,229,229,0.381471,0.000777,0.006622,4.848098,19.451857,0.933779,0.506550,0.000000,3.000000
1770747667.775252,116,0.273042,-246.813828,-3.287996,89.146584,2.346523,-248.813599,-3.258207,3.000623,4.881932,5.049465,0.150000,0.000000,0.000000,0.000000,-0.118068,PAINTING,1,-1,AI,229,229,0.381471,0.000777,0.006709,4.848598,-1.000000,0.933779,0.506550,0.000000,3.000000
1770747667.805957,117,0.031930,-246.812714,-3.203755,89.149055,2.344951,-248.812500,-3.174052,3.000056,4.881932,5.050613,0.150000,0.000000,0.000000,0.000000,-0.118068,PAINTING,1,-1,AI,229,229,0.381471,0.000687,0.009133,4.834351,-1.000000,0.933779,0.506550,0.000000,3.000000
1770747668.071379,118,0.033867,-246.803680,-2.531540,89.171822,2.351075,-248.803467,-2.502633,3.011774,4.881932,5.051624,0.150000,0.000000,0.000000,0.000000,-0.118068,PAINTING,1,-1,AI,229,229,0.380344,0.000724,0.008220,4.850003,19.995451,0.937433,0.471616,0.000000,3.000000
1770747668.104212,119,0.262398,-246.803680,-2.531540,89.171822,2.351294,-248.802444,-2.423877,3.011652,4.865444,5.052513,0.150000,0.000000,0.000000,0.000000,-0.134556,PAINTING,1,-1,AI,229,229,0.380344,0.000724,0.008220,4.850003,-1.000000,0.937433,0.471616,0.000000,3.000000
1770747668.142639,120,0.032741,-246.802658,-2.452691,89.174500,2.346566,-248.801331,-2.336578,3.011070,4.850003,5.054878,0.150000,0.000000,0.000000,0.000000,-0.149997,PAINTING,1,-1,AI,229,229,0.380344,0.000672,0.009644,4.842018,-1.000000,0.937433,0.471616,0.000000,3.000000
1770747668.423230,121,0.039548,-246.793900,-1.769036,89.198471,2.350909,-248.792740,-1.662552,3.021673,4.849301,5.057848,0.150000,0.000000,0.000000,0.000000,-0.150699,PAINTING,1,-1,AI,229,229,0.375624,0.000547,0.013152,4.830013,20.156860,0.930489,0.449782,0.000000,2.000000
1770747668.452687,122,0.278413,-246.792938,-1.690425,89.201477,2.350909,-248.792740,-1.662552,3.021183,4.848348,5.059974,0.150000,0.000000,0.000000,0.000000,-0.151652,PAINTING,1,-1,AI,229,229,0.375624,0.000479,0.014962,4.819763,-1.000000,0.930489,0.449782,0.000000,2.000000
1770747668.486827,123,0.033715,-246.791809,-1.599518,89.204735,2.346512,-248.791611,-1.571759,3.020509,4.845058,5.061910,0.150000,0.000000,0.000000,0.000000,-0.154942,PAINTING,1,-1,AI,229,229,0.375624,0.000439,0.016013,4.814605,-1.000000,0.930489,0.449782,0.000000,2.000000
1770747668.751537,124,0.033681,-246.783829,-0.942476,89.230255,2.349971,-248.783646,-0.915608,3.046555,4.845058,5.063896,0.150000,0.000000,0.000000,0.000000,-0.154942,PAINTING,1,-1,AI,229,229,0.375595,0.000829,0.004110,4.912051,22.242308,0.927877,0.585153,0.000000,4.000000
1770747668.783566,125,0.262078,-246.782867,-0.862674,89.233383,2.350066,-248.782684,-0.835915,3.045927,4.845308,5.065525,0.150000,0.000000,0.000000,0.000000,-0.154692,PAINTING,1,-1,AI,229,229,0.375595,0.000790,0.005192,4.905952,-1.000000,0.927877,0.585153,0.000000,4.000000
1770747668.815192,126,0.031451,-246.782867,-0.862674,89.233383,2.347305,-248.781631,-0.748229,3.045805,4.846011,5.066935,0.150000,0.000000,0.000000,0.000000,-0.153989,PAINTING,1,-1,AI,229,229,0.375595,0.000790,0.005192,4.905952,-1.000000,0.927877,0.585153,0.000000,4.000000
1770747669.100012,127,0.033093,-246.774780,-0.170569,89.260834,2.341885,-248.774612,-0.144768,3.047296,4.846011,5.068117,0.150000,0.000000,0.000000,0.000000,-0.153989,PAINTING,1,-1,AI,229,229,0.384179,0.000266,0.019688,4.820736,21.195173,0.945835,0.489083,0.000000,3.000000
1770747669.128989,128,0.281605,-246.773804,-0.086143,89.264267,2.341689,-248.773636,-0.060462,3.046607,4.836016,5.069182,0.150000,0.000000,0.000000,0.000000,-0.163984,PAINTING,1,-1,AI,229,229,0.384179,0.000241,0.020333,4.818143,-1.000000,0.945835,0.489083,0.000000,3.000000
1770747669.161142,129,0.032765,-246.772827,-0.000797,89.267776,2.340916,-248.772659,0.024761,3.045918,4.825374,5.071079,0.150000,0.000000,0.000000,0.000000,-0.174626,PAINTING,1,-1,AI,229,229,0.384179,0.000241,0.020306,4.819794,-1.000000,0.945835,0.489083,0.000000,3.000000
1770747669.427929,130,0.032883,-246.765930,0.639512,89.295563,2.347813,-248.765778,0.664101,3.060046,4.825374,5.073410,0.150000,0.000000,0.000000,0.000000,-0.174626,PAINTING,1,-1,AI,229,229,0.382349,0.000340,0.017743,4.848033,18.364906,0.936277,0.467249,0.000000,3.000000
1770747669.458354,131,0.263920,-246.765106,0.714833,89.298889,2.350296,-248.764954,0.739306,3.059387,4.834385,5.075078,0.150000,0.000000,0.000000,0.000000,-0.165615,PAINTING,1,-1,AI,229,229,0.382349,0.000333,0.017906,4.848196,-1.000000,0.936277,0.467249,0.000000,3.000000
1770747669.497577,132,0.037492,-246.764206,0.798821,89.302643,2.348621,-248.764053,0.823162,3.058637,4.848115,5.075682,0.150000,0.000000,0.000000,0.000000,-0.151885,PAINTING,1,-1,AI,229,229,0.382349,0.000333,0.017896,4.849569,-1.000000,0.936277,0.467249,0.000000,3.000000
1770747669.759387,133,0.033504,-246.758179,1.385113,89.329086,2.352546,-248.758041,1.408532,3.083585,4.848882,5.075219,0.150000,0.000000,0.000000,0.000000,-0.151118,PAINTING,1,-1,AI,229,229,0.383514,0.000417,0.013911,4.893313,18.864632,0.938167,0.471616,0.000000,4.000000
1770747669.787900,134,0.258823,-246.757431,1.463080,89.332664,2.352900,-248.757294,1.486374,3.082820,4.848882,5.075232,0.150000,0.000000,0.000000,0.000000,-0.151118,PAINTING,1,-1,AI,229,229,0.383514,0.000417,0.013913,4.894231,-1.000000,0.938167,0.471616,0.000000,4.000000
1770747669.821050,135,0.032654,-246.756699,1.538837,89.336182,2.353610,-248.756561,1.562008,3.082086,4.848882,5.075271,0.150000,0.000000,0.000000,0.000000,-0.151118,PAINTING,1,-1,AI,229,229,0.383514,0.000412,0.014056,4.894245,-1.000000,0.938167,0.471616,0.000000,4.000000
1770747670.080810,136,0.032645,-246.750671,2.166255,89.365547,2.354128,-248.750549,2.188401,3.092047,4.848882,5.075306,0.150000,0.000000,0.000000,0.000000,-0.151118,PAINTING,1,-1,AI,229,229,0.379165,0.000281,0.018220,4.874586,18.447399,0.929984,0.484716,0.000000,3.000000
1770747670.111719,137,0.257676,-246.749954,2.249757,89.369545,2.353795,-248.749832,2.271763,3.091175,4.860079,5.075336,0.150000,0.000000,0.000000,0.000000,-0.139921,PAINTING,1,-1,AI,229,229,0.379165,0.000249,0.019039,4.870589,-1.000000,0.929984,0.484716,0.000000,3.000000
1770747670.145068,138,0.033202,-246.749207,2.328651,89.373283,2.353043,-248.749084,2.350527,3.090441,4.871278,5.074288,0.150000,0.000000,0.000000,0.000000,-0.128722,PAINTING,1,-1,AI,229,229,0.379165,0.000249,0.019013,4.871966,-1.000000,0.929984,0.484716,0.000000,3.000000
1770747670.423740,139,0.032681,-246.744034,2.914998,89.402168,2.345096,-248.743195,3.021958,3.103486,4.873276,5.072693,0.150000,0.000000,0.000000,0.000000,-0.126724,PAINTING,1,-1,AI,229,229,0.375561,0.000648,0.007282,4.959165,22.026777,0.923424,0.537118,0.000000,3.000000
1770747670.456542,140,0.277283,-246.743301,3.001233,89.406281,2.347047,-248.742538,3.100739,3.102645,4.883950,5.071502,0.150000,0.000000,0.000000,0.000000,-0.116050,PAINTING,1,-1,AI,229,229,0.375561,0.000648,0.007321,4.959628,-1.000000,0.923424,0.537118,0.000000,3.000000
1770747670.488918,141,0.033435,-246.742645,3.080152,89.410187,2.347047,-248.742538,3.100739,3.102002,4.893772,5.069500,0.150000,0.000000,0.000000,0.000000,-0.106228,PAINTING,1,-1,AI,229,229,0.375561,0.000585,0.009011,4.949647,-1.000000,0.923424,0.537118,0.000000,3.000000
1770747670.771924,142,0.032500,-246.737335,3.741181,89.444969,2.348401,-248.736664,3.839833,3.106271,4.893772,5.067180,0.150000,0.000000,0.000000,0.000000,-0.106228,PAINTING,1,-1,AI,229,229,0.377948,0.000133,0.021025,4.879646,22.756100,0.923594,0.427948,0.000000,3.000000
1770747670.800796,143,0.279873,-246.736755,3.820609,89.449272,2.348401,-248.736664,3.839833,3.105566,4.886939,5.065492,0.150000,0.000000,0.000000,0.000000,-0.113061,PAINTING,1,-1,AI,229,229,0.377948,0.000092,0.022045,4.874370,-1.000000,0.923594,0.427948,0.000000,3.000000
1770747670.835138,144,0.033401,-246.736145,3.897806,89.453575,2.349694,-248.736053,3.916879,3.104725,4.877789,5.064663,0.150000,0.000000,0.000000,0.000000,-0.122211,PAINTING,1,-1,AI,229,229,0.377948,0.000092,0.021984,4.875933,-1.000000,0.923594,0.427948,0.000000,3.000000
1770747671.102168,145,0.035505,-246.731659,4.545903,89.490341,2.352695,-248.731583,4.563693,3.106645,4.875259,5.064565,0.150000,0.000000,0.000000,0.000000,-0.124741,PAINTING,1,-1,AI,229,229,0.378572,-0.000084,0.026817,4.852015,20.224094,0.922560,0.379913,0.000000,2.000000
1770747671.132238,146,0.263469,-246.731049,4.630511,89.495178,2.351515,-248.730972,4.648133,3.105696,4.875151,5.064393,0.150000,0.000000,0.000000,0.000000,-0.124849,PAINTING,1,-1,AI,229,229,0.378572,-0.000128,0.027858,4.846965,-1.000000,0.922560,0.379913,0.000000,2.000000
1770747671.165237,147,0.032981,-246.730545,4.715347,89.499908,2.349166,-248.730469,4.732803,3.104671,4.875151,5.064161,0.150000,0.000000,0.000000,0.000000,-0.124849,PAINTING,1,-1,AI,229,229,0.378572,-0.000128,0.027753,4.849072,-1.000000,0.922560,0.379913,0.000000,2.000000
